newest_detection,Month,Quarter,DOY,confidence,num_fires,centroid.latitude,centroid.longitude
2020-06-21T21:20:17+00:00,June,Q2,173,0.75,15,-12.17256658,37.95940383
2020-06-21T21:20:17+00:00,June,Q2,173,0.75,13,-11.75034,37.822088
2020-06-22T21:23:20+00:00,June,Q2,174,0.5,8,-12.84818563,36.91622175
2020-06-24T09:47:27+00:00,June,Q2,176,0.75,7,-12.32240171,37.95073929
2020-06-24T09:47:27+00:00,June,Q2,176,0.75,20,-12.2749036,37.96165705
2020-06-25T09:28:44+00:00,June,Q2,177,0.75,27,-11.31350285,38.15185015
2020-06-27T12:42:23+00:00,June,Q2,179,1,25,-11.90170175,37.82739906
2020-06-24T21:34:45+00:00,June,Q2,176,0.5,8,-12.28869575,38.33992625
2020-06-28T21:33:43+00:00,June,Q2,180,1,116,-11.90699749,38.50214921
2020-06-29T12:09:45+00:00,June,Q2,181,1,56,-11.7666655,38.651315
2020-06-26T09:48:14+00:00,June,Q2,178,0.75,5,-11.2979876,37.8960922
2020-06-26T21:35:58+00:00,June,Q2,178,0.75,14,-11.79747431,37.87896215
2020-06-26T21:35:58+00:00,June,Q2,178,0.5,6,-11.915797,38.56048617
2020-06-28T21:33:43+00:00,June,Q2,179,1,97,-11.47472308,38.37465385
2020-07-04T09:40:12+00:00,July,Q3,186,1,285,-12.30887119,38.38659467
2020-06-29T09:57:20+00:00,June,Q2,181,1,34,-11.76733344,37.94646303
2020-06-28T12:28:44+00:00,June,Q2,180,0.5,6,-12.56920317,37.163812
2020-06-29T09:18:03+00:00,June,Q2,181,1,17,-11.75345159,37.51013259
2020-06-29T21:11:23+00:00,June,Q2,181,1,93,-11.319804,38.87521654
2020-06-29T12:09:45+00:00,June,Q2,181,0.5,17,-11.36595824,38.84527259
2020-07-01T01:16:47+00:00,July,Q3,183,1,19,-12.67033926,37.48524432
2020-06-29T21:57:56+00:00,June,Q2,181,0.75,29,-11.68901333,38.462405
2020-06-29T21:57:56+00:00,June,Q2,181,0.5,8,-11.75878525,37.90377013
2020-06-30T09:39:31+00:00,June,Q2,182,0.75,4,-11.89822775,38.66224875
2020-06-30T09:39:31+00:00,June,Q2,182,0.5,4,-12.1302645,38.33489425
